TICKET,Decision Trees,Building Predictive Models,Intro to CHAID,Classification and Clustering,Data Entry,FastTrack,Intermediate Techniques,Intro to Statistic platform,Intro to Platform & Statistics,Maps,Perceptual Mapping,Market Segmentation,Neural Networks,Scripting,Intro to Statistics,Tables,Time Series,ANOVA models,Rule prediction,Rule confidence,Rule ID
1842,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,
1846,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,
1880,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,
1893,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Market Segmentation,0.909,288
1906,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Building Predictive Models,0.750,52
1913,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,Time Series,0.800,647
1914,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,
1915,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,Time Series,0.500,651
1916,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,
1927,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,
1930,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Classification and Clustering,0.615,348
1932,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,
1937,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,
1947,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Building Predictive Models,0.917,56
1948,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,
1949,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,
1952,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
1954,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,
1967,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,
1969,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,Market Segmentation,0.833,424
1970,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,,,
1981,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Intro to CHAID,0.533,101
1983,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Intro to CHAID,0.533,101
1984,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Building Predictive Models,0.650,39
1986,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,
1987,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,
1990,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,
2016,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Intro to Platform & Statistics,0.538,131
2027,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,Intro to Statistics,0.857,706
2033,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,
2039,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
2042,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Building Predictive Models,0.700,264
2043,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,
2044,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,Classification and Clustering,0.667,364
2045,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Intro to Statistics,0.714,158
2054,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,
2055,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,
2063,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Market Segmentation,0.800,533
2064,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,Intermediate Techniques,0.833,24
2065,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Market Segmentation,0.500,108
2069,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,Classification and Clustering,0.875,716
2071,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,
2080,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,
2086,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Intro to Statistics,0.800,486
2091,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Intro to Statistics,0.714,538
2096,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
2102,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,Intro to CHAID,0.692,120
2116,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,
2122,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Intro to CHAID,0.520,40
